model,accuracy,precision,recall,f1,auc
RandomForest,0.9849498327759197,0.9874776386404294,0.9963898916967509,0.9919137466307277,0.9874671808336069
XGBoost,0.9866220735785953,0.989247311827957,0.9963898916967509,0.9928057553956835,0.9961847719067934
LogisticRegression,0.9665551839464883,0.9819494584837545,0.9819494584837545,0.9819494584837545,0.9824417459796521
